"Df","Sum Sq","H","p.value"
5,109953.323011029,50.9900914661932,8.68925043029378e-10
1,81559.044053853,37.8224413989208,7.7485273752842e-10
5,25672.1891219366,11.9052997728286,0.0361086875053733
150,131665.487179487,NA,NA
