"Df","Sum Sq","H","p.value"
6,72472.9040119521,25.9182692760466,0.00023058413028243
1,7059.22335716799,2.5245690695748,0.112085397124248
6,89127.9196577992,31.87455302362,1.72463494440001e-05
171,344823.970482295,NA,NA
